The Go module "testmod" incorporates the following Free and Open Source
software:

    Name                                      Version                               License(s)
    ----                                      -------                               ----------
    the Go language standard library ("std")  v1.17.3                               3-clause BSD license
    github.com/davecgh/go-spew                v1.1.1                                ISC license
    github.com/go-logr/logr                   v1.2.3                                Apache License 2.0
    github.com/gogo/protobuf                  v1.3.2                                3-clause BSD license
    github.com/golang/protobuf                v1.5.2                                3-clause BSD license
    github.com/google/gofuzz                  v1.1.0                                Apache License 2.0
    github.com/josharian/intern               v1.0.1-0.20211109044230-42b52b674af5  MIT license
    github.com/json-iterator/go               v1.1.12                               MIT license
    github.com/modern-go/concurrent           v0.0.0-20180306012644-bacd9c7ef1dd    Apache License 2.0
    github.com/modern-go/reflect2             v1.0.2                                Apache License 2.0
    golang.org/x/net                          v0.3.1-0.20221206200815-1e63c2f08a10  3-clause BSD license
    golang.org/x/oauth2                       v0.0.0-20220223155221-ee480838109b    3-clause BSD license
    golang.org/x/sys                          v0.3.0                                3-clause BSD license
    golang.org/x/term                         v0.3.0                                3-clause BSD license
    golang.org/x/text                         v0.5.0                                3-clause BSD license
    golang.org/x/time                         v0.0.0-20220210224613-90d013bbcef8    3-clause BSD license
    google.golang.org/appengine               v1.6.7                                Apache License 2.0
    google.golang.org/protobuf                v1.28.1                               3-clause BSD license
    gopkg.in/inf.v0                           v0.9.1                                3-clause BSD license
    gopkg.in/yaml.v2                          v2.4.0                                Apache License 2.0, MIT license
    k8s.io/apimachinery                       v0.26.1                               3-clause BSD license, Apache License 2.0
    k8s.io/client-go                          v0.26.1                               Apache License 2.0
    k8s.io/klog/v2                            v2.80.1                               Apache License 2.0
    k8s.io/utils                              v0.0.0-20221107191617-1a15be271d1d    3-clause BSD license, Apache License 2.0
    sigs.k8s.io/json                          v0.0.0-20220713155537-f223a00ba0e2    3-clause BSD license, Apache License 2.0
    sigs.k8s.io/structured-merge-diff/v4      v4.2.3                                Apache License 2.0
    sigs.k8s.io/yaml                          v1.3.0                                3-clause BSD license, MIT license
